Provinsi/Kabupaten/Kota,Laki-laki,Perempuan
Mamuju Utara / Pasangkayu,17349,6286
MAMUJU TENGAH,13104,5377
Mamuju Tengah,13104,5377
MALUKU,12047,7775
MALUKU TENGGARA BARAT,8595,4100
Maluku Tenggara Barat / Kepulauan Tanimbar,8595,4100
MALUKU TENGGARA,8876,7341
Maluku Tenggara,8876,7341
MALUKU TENGAH,11449,9991
Maluku Tengah,11449,9991
BURU,16252,8626
Buru,16252,8626
KEPULAUAN ARU,11362,5722
Kepulauan Aru,11362,5722
SERAM BAGIAN BARAT,8955,8481
Seram Bagian Barat,8955,8481
SERAM BAGIAN TIMUR,13184,6983
Seram Bagian Timur,13184,6983
MALUKU BARAT DAYA,9934,5645
Maluku Barat Daya,9934,5645
BURU SELATAN,13146,5992
Buru Selatan,13146,5992
KOTA AMBON,16705,13650
Kota Ambon,16705,13650
KOTA TUAL,10838,5355
Kota Tual,10838,5355
MALUKU UTARA,12722,7176
HALMAHERA BARAT,11008,5925
Halmahera Barat,11008,5925
HALMAHERA TENGAH,11343,6550
Halmahera Tengah,11343,6550
KEPULAUAN SULA,9970,6956
Kepulauan Sula,9970,6956
HALMAHERA SELATAN,11284,5695
Halmahera Selatan,11284,5695
HALMAHERA UTARA,11656,6904
Halmahera Utara,11656,6904
HALMAHERA TIMUR,12758,4578
Halmahera Timur,12758,4578
PULAU MOROTAI,11202,2514
Pulau Morotai,11202,2514
PULAU TALIABU,11495,4544
Pulau Taliabu,11495,4544
KOTA TERNATE,18099,10647
Kota Ternate,18099,10647
KOTA TIDORE KEPULAUAN,10160,8247
Kota Tidore Kepulauan,10160,8247
PAPUA BARAT,11797,5622
FAKFAK,11555,4847
Fakfak,11555,4847
KAIMANA,12290,5626
Kaimana,12290,5626
TELUK WONDAMA,12753,4414
Teluk Wondama,12753,4414
TELUK BINTUNI,14022,6664
Teluk Bintuni,14022,6664
MANOKWARI,17867,7604
Manokwari,17867,7604
SORONG SELATAN,8175,4175
Sorong Selatan,8175,4175
SORONG,10955,5369
Sorong,10955,5369
RAJA AMPAT,12457,3913
Raja Ampat,12457,3913
TAMBRAUW,8626,2556
Tambrauw,8626,2556
MAYBRAT,7992,3456
Maybrat,7992,3456
MANOKWARI SELATAN,9710,2182
Manokwari Selatan,9710,2182
PEGUNUNGAN ARFAK,7138,4364
Pegunungan Arfak,7138,4364
KOTA SORONG,20076,10775
Kota Sorong,20076,10775
PAPUA,10736,4124
MERAUKE,16514,8089
Merauke,16514,8089
JAYAWIJAYA,8739,5496
Jayawijaya,8739,5496
JAYAPURA,14655,9068
Jayapura,14655,9068
NABIRE,14320,8572
Nabire,14320,8572
KEPULAUAN YAPEN,11233,6586
Kepulauan Yapen,11233,6586
BIAK NUMFOR,14408,8518
Biak Numfor,14408,8518
PANIAI,10384,2529
Paniai,10384,2529
PUNCAK JAYA,8312,2186
Puncak Jaya,8312,2186
MIMIKA,19432,4188
Mimika,19432,4188
BOVEN DIGOEL,12314,4168
Boven Digoel,12314,4168
MAPPI,10225,4646
Mappi,10225,4646
ASMAT,9852,1582
Asmat,9852,1582
YAHUKIMO,9694,3668
Yahukimo,9694,3668
PEGUNUNGAN BINTANG,8348,4531
Pegunungan Bintang,8348,4531
TOLIKARA,8822,1984
Tolikara,8822,1984
SARMI,10079,4608
Sarmi,10079,4608
KEEROM,13442,6941
Keerom,13442,6941
WAROPEN,10976,2564
Waropen,10976,2564
SUPIORI,8781,3223
Supiori,8781,3223
MAMBERAMO RAYA,7140,3778
Mamberamo Raya,7140,3778
NDUGA,4146,4685
Nduga,4146,4685
LANNY JAYA,4554,5801
Lanny Jaya,4554,5801
MAMBERAMO TENGAH,4630,4785
Mamberamo Tengah,4630,4785
YALIMO,7365,4650
Yalimo,7365,4650
PUNCAK,5848,4501
Puncak,5848,4501
DOGIYAI,8470,3522
Dogiyai,8470,3522
INTAN JAYA,7967,3422
Intan Jaya,7967,3422
DEIYAI,6758,2562
Deiyai,6758,2562
KOTA JAYAPURA,18542,13769
Kota Jayapura,18542,13769
INDONESIA,16215,9281
INDONESIA,16215,9281
