Provinsi/Kabupaten/Kota,Laki-laki,Perempuan
Ogan Komering Ulu,15489,10154
OGAN KOMERING ILIR,16771,9632
Ogan Komering Ilir,16771,9632
MUARA ENIM,16366,8551
Muara Enim,16366,8551
LAHAT,13788,10035
Lahat,13788,10035
MUSI RAWAS,15719,6322
Musi Rawas,15719,6322
MUSI BANYUASIN,16381,5385
Musi Banyuasin,16381,5385
BANYU ASIN,15247,7532
Banyu Asin,15247,7532
OGAN KOMERING ULU SELATAN,12560,7608
Ogan Komering Ulu Selatan,12560,7608
OGAN KOMERING ULU TIMUR,15575,11442
Ogan Komering Ulu Timur,15575,11442
OGAN ILIR,11069,11377
Ogan Ilir,11069,11377
EMPAT LAWANG,13959,9194
Empat Lawang,13959,9194
PENUKAL ABAB LEMATANG ILIR,12198,8101
Penukal Abab Lematang Ilir,12198,8101
MUSI RAWAS UTARA,14802,9598
Musi Rawas Utara,14802,9598
KOTA PALEMBANG,17541,14780
Kota Palembang,17541,14780
KOTA PRABUMULIH,19351,12204
Kota Prabumulih,19351,12204
KOTA PAGAR ALAM,12419,8726
Kota Pagar Alam,12419,8726
KOTA LUBUKLINGGAU,18038,13379
Kota Lubuklinggau,18038,13379
BENGKULU,15173,8499
BENGKULU SELATAN,13992,9978
Bengkulu Selatan,13992,9978
REJANG LEBONG,14530,9634
Rejang Lebong,14530,9634
BENGKULU UTARA,15785,8901
Bengkulu Utara,15785,8901
KAUR,12983,6377
Kaur,12983,6377
SELUMA,13406,5656
Seluma,13406,5656
MUKOMUKO,16864,6175
Mukomuko,16864,6175
LEBONG,17901,9974
Lebong,17901,9974
KEPAHIANG,12128,9285
Kepahiang,12128,9285
BENGKULU TENGAH,14465,6673
Bengkulu Tengah,14465,6673
KOTA BENGKULU,17909,13647
Kota Bengkulu,17909,13647
LAMPUNG,14722,7999
LAMPUNG BARAT,13349,8698
Lampung Barat,13349,8698
TANGGAMUS,14099,7712
Tanggamus,14099,7712
LAMPUNG SELATAN,14775,7544
Lampung Selatan,14775,7544
LAMPUNG TIMUR,15248,7958
Lampung Timur,15248,7958
LAMPUNG TENGAH,16632,8758
Lampung Tengah,16632,8758
LAMPUNG UTARA,13103,6585
Lampung Utara,13103,6585
WAY KANAN,14216,6898
Way Kanan,14216,6898
TULANGBAWANG,16502,8104
Tulangbawang,16502,8104
PESAWARAN,12870,6083
Pesawaran,12870,6083
PRINGSEWU,16346,9964
Pringsewu,16346,9964
MESUJI,12709,4946
Mesuji,12709,4946
TULANGBAWANG BARAT,12442,6124
Tulang Bawang Barat,12442,6124
PESISIR BARAT,10802,7892
Pesisir Barat,10802,7892
KOTA BANDAR LAMPUNG,17458,11869
Kota Bandar Lampung,17458,11869
KOTA METRO,15128,11740
Kota Metro,15128,11740
KEP. BANGKA BELITUNG,19736,9378
BANGKA,18961,8628
Bangka,18961,8628
BELITUNG,20771,9235
Belitung,20771,9235
BANGKA BARAT,18934,9546
Bangka Barat,18934,9546
BANGKA TENGAH,19453,10689
Bangka Tengah,19453,10689
BANGKA SELATAN,19089,6513
Bangka Selatan,19089,6513
BELITUNG TIMUR,18949,7317
Belitung Timur,18949,7317
KOTA PANGKAL PINANG,22724,14743
Kota Pangkal Pinang,22724,14743
KEP. RIAU,20614,12651
KEPULAUAN RIAU,20614,12651
KARIMUN,18830,9947
Karimun,18830,9947
BINTAN,21839,12600
Bintan,21839,12600
NATUNA,21240,11612
Natuna,21240,11612
LINGGA,17971,9957
Lingga,17971,9957
KEPULAUAN ANAMBAS,17338,9304
Kepulauan Anambas,17338,9304
KOTA BATAM,27027,17748
Kota Batam,27027,17748
KOTA TANJUNG PINANG,19173,15391
Kota Tanjung Pinang,19173,15391
DKI JAKARTA,23432,17318
KEPULAUAN SERIBU,17804,12587
Kep. Seribu,17804,12587
KODYA JAKARTA SELATAN,28077,23626
Kota Jakarta Selatan,28077,23626
KODYA JAKARTA TIMUR,22926,17759
Kota Jakarta Timur,22926,17759
KODYA JAKARTA PUSAT,20087,17107
Kota Jakarta Pusat,20087,17107
KODYA JAKARTA BARAT,24729,20208
Kota Jakarta Barat,24729,20208
KODYA JAKARTA UTARA,27065,18798
Kota Jakarta Utara,27065,18798
JAWA BARAT,15933,8235
BOGOR,15407,8747
Bogor,15407,8747
SUKABUMI,13527,6967
Sukabumi,13527,6967
CIANJUR,11722,5170
Cianjur,11722,5170
BANDUNG,14223,9261
Bandung,14223,9261
GARUT,11694,4523
Garut,11694,4523
TASIKMALAYA,12167,5505
Tasikmalaya,12167,5505
CIAMIS,14473,6477
Ciamis,14473,6477
KUNINGAN,14226,6777
Kuningan,14226,6777
CIREBON,16240,5667
Cirebon,16240,5667
MAJALENGKA,14423,6509
Majalengka,14423,6509
SUMEDANG,14261,10260
Sumedang,14261,10260
INDRAMAYU,15003,7465
Indramayu,15003,7465
SUBANG,15458,8833
Subang,15458,8833
PURWAKARTA,18455,7913
Purwakarta,18455,7913
KARAWANG,16067,9568
Karawang,16067,9568
BEKASI,17460,8716
Bekasi,17460,8716
BANDUNG BARAT,13723,4173
Bandung Barat,13723,4173
PANGANDARAN,13268,7379
Pangandaran,13268,7379
KOTA BOGOR,17885,9906
Kota Bogor,17885,9906
KOTA SUKABUMI,15618,10384
Kota Sukabumi,15618,10384
KOTA BANDUNG,23491,16702
Kota Bandung,23491,16702
KOTA CIREBON,15869,11634
Kota Cirebon,15869,11634
KOTA BEKASI,22326,14872
Kota Bekasi,22326,14872
KOTA DEPOK,22791,14497
Kota Depok,22791,14497
KOTA CIMAHI,17158,10716
Kota Cimahi,17158,10716
KOTA TASIKMALAYA,13921,8124
Kota Tasikmalaya,13921,8124
KOTA BANJAR,16297,7586
Kota Banjar,16297,7586
JAWA TENGAH,15606,10098
CILACAP,15956,7442
Cilacap,15956,7442
BANYUMAS,17352,8173
Banyumas,17352,8173
PURBALINGGA,13810,9741
Purbalingga,13810,9741
BANJARNEGARA,11081,8735
Banjarnegara,11081,8735
KEBUMEN,12153,8528
Kebumen,12153,8528
PURWOREJO,11865,10256
Purworejo,11865,10256
WONOSOBO,15192,9754
Wonosobo,15192,9754
MAGELANG,14154,9084
Magelang,14154,9084
BOYOLALI,17910,12776
Boyolali,17910,12776
KLATEN,13797,12011
Klaten,13797,12011
SUKOHARJO,12819,11237
Sukoharjo,12819,11237
WONOGIRI,13474,8739
Wonogiri,13474,8739
KARANGANYAR,12379,11343
Karanganyar,12379,11343
SRAGEN,17574,11571
Sragen,17574,11571
GROBOGAN,15914,7704
Grobogan,15914,7704
BLORA,14804,6163
Blora,14804,6163
REMBANG,16150,7576
Rembang,16150,7576
PATI,15243,10046
Pati,15243,10046
KUDUS,15725,10823
Kudus,15725,10823
JEPARA,15018,8779
Jepara,15018,8779
DEMAK,15481,9077
Demak,15481,9077
SEMARANG,13435,12211
Semarang,13435,12211
TEMANGGUNG,11538,9081
Temanggung,11538,9081
KENDAL,15574,11060
Kendal,15574,11060
BATANG,13581,8611
Batang,13581,8611
PEKALONGAN,14922,8954
Pekalongan,14922,8954
PEMALANG,13254,6295
Pemalang,13254,6295
TEGAL,15018,7749
Tegal,15018,7749
BREBES,15330,7238
Brebes,15330,7238
KOTA MAGELANG,14341,12254
Kota Magelang,14341,12254
KOTA SURAKARTA,15715,14115
Kota Surakarta,15715,14115
KOTA SALATIGA,20313,15764
Kota Salatiga,20313,15764
KOTA SEMARANG,17115,14908
Kota Semarang,17115,14908
KOTA PEKALONGAN,17200,12688
Kota Pekalongan,17200,12688
KOTA TEGAL,18695,12305
Kota Tegal,18695,12305
DI YOGYAKARTA,17699,13404
D I YOGYAKARTA,17699,13404
KULON PROGO,13621,9947
Kulon Progo,13621,9947
BANTUL,18555,15289
Bantul,18555,15289
GUNUNG KIDUL,16349,6807
Gunung Kidul,16349,6807
SLEMAN,17736,15366
Sleman,17736,15366
KOTA YOGYAKARTA,19545,19136
Kota Yogyakarta,19545,19136
JAWA TIMUR,17226,10292
JAWA TIMUR,17226,10292
PACITAN,14211,6062
Pacitan,14211,6062
PONOROGO,13448,9637
Ponorogo,13448,9637
TRENGGALEK,15156,9658
Trenggalek,15156,9658
TULUNGAGUNG,13942,10627
Tulungagung,13942,10627
BLITAR,16273,9696
Blitar,16273,9696
KEDIRI,16697,10699
Kediri,16697,10699
MALANG,15414,7343
Malang,15414,7343
LUMAJANG,14547,7667
Lumajang,14547,7667
JEMBER,15127,6429
Jember,15127,6429
BANYUWANGI,19462,8098
Banyuwangi,19462,8098
BONDOWOSO,14943,9684
Bondowoso,14943,9684
SITUBONDO,15854,7873
Situbondo,15854,7873
PROBOLINGGO,17701,7734
Probolinggo,17701,7734
PASURUAN,14589,8964
Pasuruan,14589,8964
SIDOARJO,20613,14211
Sidoarjo,20613,14211
MOJOKERTO,18693,11192
Mojokerto,18693,11192
JOMBANG,16858,9103
Jombang,16858,9103
NGANJUK,17717,11795
Nganjuk,17717,11795
MADIUN,16557,9836
Madiun,16557,9836
MAGETAN,16070,11711
Magetan,16070,11711
NGAWI,16106,9892
Ngawi,16106,9892
BOJONEGORO,15140,8693
Bojonegoro,15140,8693
TUBAN,16596,7873
Tuban,16596,7873
LAMONGAN,17379,8625
Lamongan,17379,8625
GRESIK,20346,10670
Gresik,20346,10670
BANGKALAN,13322,7048
Bangkalan,13322,7048
SAMPANG,13707,6552
Sampang,13707,6552
PAMEKASAN,13136,6699
Pamekasan,13136,6699
SUMENEP,14303,5367
Sumenep,14303,5367
KOTA KEDIRI,16339,12437
Kota Kediri,16339,12437
KOTA BLITAR,15414,13520
Kota Blitar,15414,13520
KOTA MALANG,20943,16612
Kota Malang,20943,16612
KOTA PROBOLINGGO,12985,12180
Kota Probolinggo,12985,12180
KOTA PASURUAN,14460,13197
Kota Pasuruan,14460,13197
KOTA MOJOKERTO,18637,13534
Kota Mojokerto,18637,13534
KOTA MADIUN,23068,15830
Kota Madiun,23068,15830
KOTA SURABAYA,22435,16584
Kota Surabaya,22435,16584
KOTA BATU,19180,9629
Kota Batu,19180,9629
BANTEN,17503,10497
PANDEGLANG,14164,6225
Pandeglang,14164,6225
LEBAK,13305,4286
Lebak,13305,4286
TANGERANG,18029,10701
Tangerang,18029,10701
SERANG,15493,9792
Serang,15493,9792
KOTA TANGERANG,19619,14514
Kota Tangerang,19619,14514
